ObservationIdentifier,DateOfObservation,DutchName,ScientificName,Kingdom,QuantificationOfInvasion,QuantificationUnit,ValidationStatus,SamplingProtocol,CoordinateUncertainty,XLambert72,YLambert72,ID,ESRI_OID,Shape
Exo_3,2018-09-11T15:35:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,94572.35750000,216541.69850000,3,1,POINT (94572.35750000 216541.69850000)
Exo_4,2018-09-11T15:36:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,128523.65620000,214170.39150000,4,2,POINT (128523.65620000 214170.39150000)
Exo_5,2018-09-11T15:40:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,96991.67370000,206166.18240000,5,3,POINT (96991.67370000 206166.18240000)
Exo_6,2018-09-11T15:40:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,96997.61790000,206170.53430000,6,4,POINT (96997.61790000 206170.53430000)
Exo_7,2018-09-11T15:45:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,88160.13190000,196144.62490000,7,5,POINT (88160.13190000 196144.62490000)
Exo_8,2018-09-11T15:47:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,121518.64320000,195779.98080000,8,6,POINT (121518.64320000 195779.98080000)
Exo_9,2018-09-11T15:48:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,123807.55980000,197044.58880000,9,7,POINT (123807.55980000 197044.58880000)
Exo_10,2018-09-11T15:48:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,123798.73760000,197125.28380000,10,8,POINT (123798.73760000 197125.28380000)
Exo_11,2018-09-11T15:49:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,125633.68860000,198978.21200000,11,9,POINT (125633.68860000 198978.21200000)
Exo_12,2018-09-11T15:49:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,125646.84670000,198979.96640000,12,10,POINT (125646.84670000 198979.96640000)
Exo_13,2018-09-11T15:50:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,133101.24180000,200324.57360000,13,11,POINT (133101.24180000 200324.57360000)
Exo_14,2018-09-11T15:50:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,136385.06120000,196241.35770000,14,12,POINT (136385.06120000 196241.35770000)
Exo_15,2018-09-11T15:51:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,130477.33840000,193107.01530000,15,13,POINT (130477.33840000 193107.01530000)
Exo_16,2018-09-11T15:53:00,Parelvederkruid,Myriophyllum aquaticum,Plantae,0,m²,approved by experts,casual observation,,130452.14740000,193667.46190000,16,14,POINT (130452.14740000 193667.46190000)
Exo_17,2018-09-11T15:54:00,Waterteunisbloem,Ludwigia grandiflora,Plantae,0,m²,approved by experts,casual observation,,130553.14440000,193622.53790000,17,15,POINT (130553.14440000 193622.53790000)
